Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Artist Genres,Artist Popularity,Artist uri,Song uri,Song Duration
Gimme Love - Armin van Buuren Remix – Radio Edit,Armin van Buuren,66,0.586,0.928,124.97,0.0397,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,2cuVIu6c6BHJiUcOXoEivN,180000
Easy To Love,Armin van Buuren,63,0.742,0.782,120.027,0.0328,"['dutch house', 'dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,0BLxPjFEOG8G1q8AKLuz3V,180000
Falling Apart,ARMNHMR,51,0.406,0.692,144.959,0.0313,"['melodic dubstep', 'pop edm']",45,0P2bZXPyjHYRW4guHVAFl1,5TQDtOeQ3IU2VqKbCn6Rwq,180000
Someone To Forget,ARMNHMR,45,0.461,0.736,139.988,0.0386,"['melodic dubstep', 'pop edm']",45,0P2bZXPyjHYRW4guHVAFl1,2FltnQzkNEttZgrG1Nf1qT,180000
SET ME FREE (ARMNHMR Remix) (ENG),ARMNHMR,51,0.583,0.78,105.158,0.0359,"['melodic dubstep', 'pop edm']",45,0P2bZXPyjHYRW4guHVAFl1,6rEskoR1IPe8099gp8N5AL,180000
Won't Make A Sound,ARMNHMR,46,0.441,0.728,142.095,0.0384,"['melodic dubstep', 'pop edm']",45,0P2bZXPyjHYRW4guHVAFl1,1mgsWGf69P448vP0md1Z8e,180000
September Nights,ARMNHMR,46,0.467,0.86,126.128,0.0462,"['melodic dubstep', 'pop edm']",45,0P2bZXPyjHYRW4guHVAFl1,20NGAb04LqwxDX2dsSgHZi,180000
IT'S YOU - ARMNHMR Remix,ARMNHMR,44,0.591,0.728,119.961,0.049,"['melodic dubstep', 'pop edm']",45,0P2bZXPyjHYRW4guHVAFl1,6EmRDtmAq556gtaj0rOjsW,180000
Fragile (feat. Melanie Fontana),ARMNHMR,44,0.447,0.687,138.016,0.0302,"['melodic dubstep', 'pop edm']",45,0P2bZXPyjHYRW4guHVAFl1,1UqkLxHHcQixRPYesIkHXu,180000
WANT U,ARMNHMR,44,0.299,0.792,149.834,0.0565,"['melodic dubstep', 'pop edm']",45,0P2bZXPyjHYRW4guHVAFl1,4gA8RYIv4IG31JqKUM0QnW,180000
Lifeline,ARMNHMR,39,0.502,0.847,127.976,0.0324,"['melodic dubstep', 'pop edm']",45,0P2bZXPyjHYRW4guHVAFl1,2csVQOf3r773pMLu6sUjBp,180000
Drowning,ARMNHMR,38,0.377,0.798,154.965,0.0461,"['melodic dubstep', 'pop edm']",45,0P2bZXPyjHYRW4guHVAFl1,7GnwJfPp7C8Y7Rvaeb0EAc,180000
Other Side,Azzecca,58,0.768,0.846,124.981,0.0478,[],41,2k5DY2QDU3kBi5DX7OQlWj,6gLDnzjpM0AwOeh9NmmHE0,180000
Tell That Boy,Azzecca,55,0.736,0.943,128.017,0.0637,[],41,2k5DY2QDU3kBi5DX7OQlWj,34x9lHWBLEWgDSUUlx1T5Z,180000
U Fool,Azzecca,43,0.617,0.904,129.959,0.0419,[],41,2k5DY2QDU3kBi5DX7OQlWj,1FFjMvlFNNr4OfXjbQaGOJ,180000
Ego Death,Azzecca,43,0.788,0.759,126.989,0.0656,[],41,2k5DY2QDU3kBi5DX7OQlWj,68vou4lxyWNaaODWxNeVeE,180000
I've Been Waiting﻿﻿,Azzecca,40,0.698,0.854,125.999,0.0661,[],41,2k5DY2QDU3kBi5DX7OQlWj,25xGCpAKWRUth9UbxC1TOl,180000
